Model,Data,Jobs,Patience,Gridsearch,Iter,Length,Split,train acc,test acc 
logreg,data/splice.csv,,500,True,3,10,3,68.503937007874,65.00783699059559
rf,data/splice.csv,,500,True,3,10,3,68.503937007874,65.00783699059559
svc,data/splice.csv,,500,True,3,10,3,68.503937007874,65.00783699059559
if,data/splice.csv,,500,True,3,10,3,0.0,0.0
residual,data/splice.csv,,500,True,3,10,3,22.8346456692913,24.4122257053292
knn,data/splice.csv,,500,True,3,10,3,68.503937007874,65.00783699059559
perceptron,data/splice.csv,,500,True,3,10,3,22.8346456692913,24.4122257053292
logreg,data/splice.csv,,500,,3,10,3,68.503937007874,65.00783699059559
rf,data/splice.csv,,500,,3,10,3,68.503937007874,65.00783699059559
svc,data/splice.csv,,500,,3,10,3,40.1574803149606,37.3432601880878
if,data/splice.csv,,500,,3,10,3,11.8110236220472,13.479623824451402
residual,data/splice.csv,,500,,3,10,3,0.0,0.0
perceptron,data/splice.csv,,500,,3,10,3,22.83464566929134,24.41222570532916
knn,data/splice.csv,,500,,3,10,3,25.984251968503933,23.510971786833856
